candidate_id	caller_symbol	caller_source_path	caller_source_sha256	caller_source_line	callee_spelling	caller_frontier_id
"MVDM-FIRST-REBASELINED-000001"	"GetSegmentOwnerInfo"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"58"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000001"
"MVDM-FIRST-REBASELINED-000002"	"GetSegmentOwnerInfo"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"61"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000001"
"MVDM-FIRST-REBASELINED-000003"	"GetSegmentOwnerInfo"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"92"	"_stricmp"	"MVDM-FIRST-CALLER-FRONTIER-000001"
"MVDM-FIRST-REBASELINED-000004"	"GetSegmentOwnerInfo"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"93"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000001"
"MVDM-FIRST-REBASELINED-000005"	"GetSegmentOwnerInfo"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"95"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000001"
"MVDM-FIRST-REBASELINED-000006"	"TaskInfo"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"351"	"DumpTaskInfo"	"MVDM-FIRST-CALLER-FRONTIER-000002"
"MVDM-FIRST-REBASELINED-000007"	"TaskInfo"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"356"	"DumpTaskInfo"	"MVDM-FIRST-CALLER-FRONTIER-000002"
"MVDM-FIRST-REBASELINED-000008"	"look_for_far"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"376"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000003"
"MVDM-FIRST-REBASELINED-000009"	"read_name"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"13"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000010"	"read_name"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"19"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000011"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"67"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000012"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"68"	"OpenFile"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000013"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"71"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000014"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"72"	"strcat"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000015"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"74"	"OpenFile"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000016"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"77"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000017"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"78"	"strcat"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000018"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"80"	"OpenFile"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000019"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"87"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000020"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"96"	"_llseek"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000021"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"101"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000022"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"110"	"_llseek"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000023"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"115"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000024"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"173"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000025"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"184"	"_llseek"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000026"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"189"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000027"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"206"	"_llseek"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000028"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"211"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000029"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"230"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000030"	"read_symbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"243"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000031"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"293"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000032"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"307"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000033"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"308"	"strcat"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000034"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"310"	"OpenFile"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000035"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"328"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000036"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"331"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000037"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"336"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000038"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"339"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000039"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"343"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000040"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"346"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000041"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"349"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000042"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"352"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000043"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"355"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000044"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"358"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000045"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"361"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000046"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"364"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000047"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"369"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000048"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"372"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000049"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"380"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000050"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"383"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000051"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"401"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000052"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"404"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000053"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"415"	"_llseek"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000054"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"418"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000055"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"421"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000056"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"424"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000057"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"429"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000058"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"432"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000059"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"436"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000060"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"439"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000061"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"443"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000062"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"446"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000063"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"459"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000064"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"462"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000065"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"504"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000066"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"512"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000067"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"515"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000068"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"523"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000069"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"562"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000070"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"563"	"_strupr"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000071"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"574"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000072"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"575"	"strcat"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000073"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"577"	"OpenFile"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000074"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"584"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000075"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"587"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000076"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"592"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000077"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"595"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000078"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"599"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000079"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"602"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000080"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"605"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000081"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"608"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000082"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"611"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000083"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"614"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000084"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"617"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000085"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"620"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000086"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"625"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000087"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"628"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000088"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"634"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000089"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"637"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000090"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"655"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000091"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"658"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000092"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"668"	"_llseek"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000093"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"671"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000094"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"674"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000095"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"677"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000096"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"682"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000097"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"685"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000098"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"689"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000099"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"692"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000100"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"696"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000101"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"699"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000102"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"713"	"_lread"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000103"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"716"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000104"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"730"	"_stricmp"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000105"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"735"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000106"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"741"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000107"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"749"	"strcpy"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000108"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"750"	"_strupr"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000109"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"752"	"strstr"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000110"	"FindAddress"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"774"	"_lclose"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000111"	"EvaluateSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"883"	"GetExceptionCode"	"MVDM-FIRST-CALLER-FRONTIER-000004"
"MVDM-FIRST-REBASELINED-000112"	"ReadProcessMem"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"17"	"ReadProcessMemory"	"MVDM-FIRST-CALLER-FRONTIER-000005"
"MVDM-FIRST-REBASELINED-000113"	"WriteProcessMem"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"34"	"WriteProcessMemory"	"MVDM-FIRST-CALLER-FRONTIER-000005"
"MVDM-FIRST-REBASELINED-000114"	"GetContext"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"173"	"NtGetContextThread"	"MVDM-FIRST-CALLER-FRONTIER-000005"
